town,flat_type,floor_area_sqm,flat_model,price
ANG MO KIO,4 ROOM,92,New Generation,490866
ANG MO KIO,3 ROOM,68,New Generation,354564
ANG MO KIO,4 ROOM,98,New Generation,484225
ANG MO KIO,3 ROOM,73,New Generation,344460
ANG MO KIO,4 ROOM,90,Model A,455618
ANG MO KIO,4 ROOM,91,New Generation,470760
ANG MO KIO,3 ROOM,68,New Generation,321712
ANG MO KIO,4 ROOM,91,New Generation,458849
ANG MO KIO,3 ROOM,67,New Generation,286778
ANG MO KIO,3 ROOM,74,New Generation,377973
ANG MO KIO,4 ROOM,92,New Generation,444693
ANG MO KIO,5 ROOM,135,Model A,699667
ANG MO KIO,3 ROOM,68,New Generation,324774
ANG MO KIO,3 ROOM,67,New Generation,293939
ANG MO KIO,3 ROOM,68,New Generation,301836
ANG MO KIO,3 ROOM,88,New Generation,425440
ANG MO KIO,3 ROOM,67,New Generation,326275
ANG MO KIO,3 ROOM,68,New Generation,313894
ANG MO KIO,3 ROOM,67,New Generation,355265
ANG MO KIO,3 ROOM,75,New Generation,351256
ANG MO KIO,4 ROOM,92,New Generation,470346
ANG MO KIO,5 ROOM,110,Improved,597060
ANG MO KIO,3 ROOM,68,New Generation,332886
ANG MO KIO,4 ROOM,91,New Generation,456113
ANG MO KIO,4 ROOM,92,New Generation,543608
ANG MO KIO,3 ROOM,70,Model A,291725
ANG MO KIO,3 ROOM,67,New Generation,328600
ANG MO KIO,5 ROOM,123,Standard,663211
ANG MO KIO,3 ROOM,73,New Generation,436060
ANG MO KIO,2 ROOM,44,Improved,47423
ANG MO KIO,3 ROOM,68,New Generation,310960
ANG MO KIO,3 ROOM,68,New Generation,376483
ANG MO KIO,4 ROOM,90,Model A,457990
ANG MO KIO,3 ROOM,67,New Generation,274623
ANG MO KIO,4 ROOM,98,New Generation,525249
ANG MO KIO,3 ROOM,67,New Generation,315143
ANG MO KIO,5 ROOM,118,Improved,616802
ANG MO KIO,5 ROOM,119,Improved,581115
ANG MO KIO,3 ROOM,67,New Generation,304891
ANG MO KIO,3 ROOM,73,New Generation,360315
ANG MO KIO,3 ROOM,68,New Generation,287085
ANG MO KIO,3 ROOM,82,New Generation,415169
ANG MO KIO,3 ROOM,67,New Generation,304637
ANG MO KIO,2 ROOM,44,Improved,168987
ANG MO KIO,3 ROOM,60,Improved,311171
ANG MO KIO,3 ROOM,74,New Generation,309538
ANG MO KIO,4 ROOM,95,Model A,447926
ANG MO KIO,4 ROOM,93,New Generation,490426
ANG MO KIO,4 ROOM,92,New Generation,494186
ANG MO KIO,4 ROOM,91,New Generation,438367
ANG MO KIO,4 ROOM,92,New Generation,473963
ANG MO KIO,4 ROOM,93,New Generation,458551
ANG MO KIO,3 ROOM,67,New Generation,293035
ANG MO KIO,3 ROOM,67,New Generation,332001
ANG MO KIO,3 ROOM,68,New Generation,311475
ANG MO KIO,4 ROOM,92,New Generation,460315
ANG MO KIO,3 ROOM,68,New Generation,296748
ANG MO KIO,3 ROOM,67,New Generation,295297
ANG MO KIO,3 ROOM,67,New Generation,290855
ANG MO KIO,5 ROOM,110,Improved,588926
ANG MO KIO,5 ROOM,110,Improved,597546
ANG MO KIO,3 ROOM,67,New Generation,320477
ANG MO KIO,4 ROOM,98,New Generation,466017
ANG MO KIO,3 ROOM,60,Improved,257674
ANG MO KIO,3 ROOM,82,New Generation,397680
ANG MO KIO,4 ROOM,92,New Generation,432893
ANG MO KIO,3 ROOM,73,New Generation,370442
ANG MO KIO,5 ROOM,110,Improved,565015
ANG MO KIO,3 ROOM,67,New Generation,267237
ANG MO KIO,3 ROOM,68,New Generation,329803
ANG MO KIO,3 ROOM,68,New Generation,328120
ANG MO KIO,3 ROOM,67,New Generation,319090
ANG MO KIO,3 ROOM,73,New Generation,330922
ANG MO KIO,2 ROOM,44,Improved,116739
ANG MO KIO,3 ROOM,67,New Generation,320233
ANG MO KIO,3 ROOM,67,New Generation,316194
ANG MO KIO,3 ROOM,68,New Generation,293158
ANG MO KIO,3 ROOM,82,New Generation,423254
ANG MO KIO,5 ROOM,119,Improved,640816
ANG MO KIO,3 ROOM,73,New Generation,340555
ANG MO KIO,3 ROOM,68,New Generation,329096
ANG MO KIO,3 ROOM,68,New Generation,342471
ANG MO KIO,2 ROOM,45,Improved,159440
ANG MO KIO,5 ROOM,118,Improved,710979
ANG MO KIO,4 ROOM,93,New Generation,477185
ANG MO KIO,3 ROOM,67,New Generation,262231
ANG MO KIO,3 ROOM,67,New Generation,359187
ANG MO KIO,3 ROOM,68,New Generation,302250
ANG MO KIO,3 ROOM,69,New Generation,342260
ANG MO KIO,3 ROOM,68,New Generation,328646
ANG MO KIO,4 ROOM,92,New Generation,484866
ANG MO KIO,3 ROOM,73,New Generation,367357
ANG MO KIO,5 ROOM,118,Improved,646121
ANG MO KIO,4 ROOM,92,New Generation,455970
ANG MO KIO,3 ROOM,82,New Generation,360395
ANG MO KIO,3 ROOM,67,New Generation,299721
ANG MO KIO,5 ROOM,119,Improved,657733
ANG MO KIO,4 ROOM,107,Model A,534413
ANG MO KIO,5 ROOM,119,Improved,625816
ANG MO KIO,3 ROOM,67,New Generation,308104
ANG MO KIO,5 ROOM,120,Improved,621255
ANG MO KIO,4 ROOM,98,New Generation,531025
ANG MO KIO,3 ROOM,67,New Generation,282662
ANG MO KIO,3 ROOM,60,Improved,276254
ANG MO KIO,4 ROOM,90,Model A,450759
ANG MO KIO,4 ROOM,92,New Generation,468407
ANG MO KIO,3 ROOM,67,New Generation,304279
ANG MO KIO,4 ROOM,95,Model A,462285
ANG MO KIO,3 ROOM,82,New Generation,402621
ANG MO KIO,3 ROOM,67,New Generation,307426
ANG MO KIO,3 ROOM,73,New Generation,369997
ANG MO KIO,3 ROOM,69,Improved,303250
ANG MO KIO,3 ROOM,67,New Generation,325878
ANG MO KIO,4 ROOM,92,New Generation,451289
ANG MO KIO,4 ROOM,95,Model A,467785
ANG MO KIO,3 ROOM,67,New Generation,333888
ANG MO KIO,4 ROOM,92,New Generation,447208
ANG MO KIO,4 ROOM,93,New Generation,477226
ANG MO KIO,3 ROOM,67,New Generation,319846
ANG MO KIO,3 ROOM,67,New Generation,313770
ANG MO KIO,5 ROOM,121,Improved,659060
ANG MO KIO,5 ROOM,118,Improved,654627
ANG MO KIO,3 ROOM,67,New Generation,199105
ANG MO KIO,3 ROOM,67,New Generation,355525
ANG MO KIO,4 ROOM,91,New Generation,447128
ANG MO KIO,3 ROOM,67,New Generation,319804
ANG MO KIO,3 ROOM,68,New Generation,336108
ANG MO KIO,3 ROOM,75,New Generation,339204
ANG MO KIO,3 ROOM,67,New Generation,302550
ANG MO KIO,3 ROOM,67,New Generation,411776
ANG MO KIO,4 ROOM,98,New Generation,521408
ANG MO KIO,4 ROOM,98,New Generation,509587
ANG MO KIO,3 ROOM,73,New Generation,471963
ANG MO KIO,3 ROOM,70,Model A,322754
ANG MO KIO,3 ROOM,88,New Generation,353499
ANG MO KIO,4 ROOM,93,New Generation,476803
ANG MO KIO,5 ROOM,123,Improved,781753
ANG MO KIO,3 ROOM,67,New Generation,313561
ANG MO KIO,4 ROOM,98,New Generation,520029
ANG MO KIO,3 ROOM,73,New Generation,373986
ANG MO KIO,5 ROOM,118,Improved,702716
ANG MO KIO,4 ROOM,91,New Generation,501142
ANG MO KIO,4 ROOM,97,New Generation,458806
ANG MO KIO,3 ROOM,74,New Generation,403012
ANG MO KIO,3 ROOM,73,New Generation,309924
